transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xe65a4f4a49dcbf57f40790c824328de4ad3cf96d241c5b7a1bfbe571e17145f0,1,0x719d95254fc63294fe1568362b86c18fa33a8d7b9007ad2efab3a096c83b3729,61251,241736,220736,0x1702c089c3d4b2b8e09232f36114e41c214d6939,0x6f8b3cd8612997c0fe1f2fac3c6b0d3a80183831bacd958eed5c883029dd4e2b,,59932184455,,,,
0xbfcd29aedfe329b827e7f699d82a42770512384b174b9a46ed7334be70d9e551,0,0xbd0e57e22d54355c4f7d9b3f7806ca2ed434dd80de8fbd85512e2c297c096a03,61435,280798,280798,0x3d20ca881df543228b314bbe1d47bb54db124383,0xe222e01204998c4cee636a4af940431955240e1343d06cd2d73691b3e3a1729a,,56350552918,,,,
0x1676d96fd9f6c875cefaaf4381ffe39df7679edaafab581c8aafe818b3ca6968,0,0x5eeb6f6e8cfcd93ccf6219a3f249555999f28daf35b411de9c393c0ad2807cce,61657,361658,361658,0x4cce413f565f8a9e2a25d9d270a9a36061f4439d,0xa02079278331fb36cba16cdbdcbc357488ff7d05e3ff20005c25759106309ffc,,56437379810,,,,
0x01b05bed03a2d9f0ef7ff6c3dcf90fb9b59ce53d2bf5efb7b967b815f246a107,0,0xe3f005ef4ea6bd5c043b2d9c9857355f01a52b93e6c1a1af94cef75020fb1988,61819,221120,221120,0xfca662d5d0af161b8fa6986e7901348c0e3caaed,0x1bbd06b38d0bf2ec1aa66222e06e1bbf06df5e3bfefe1e7f0bf9c5aff8710e01,,55901379360,,,,
0x05584f2bd9acaa65e1a8b113c1ff7064c2848d64f07e09c3f90338630e5a5027,0,0x6ccb484a9ac80d74c244c5ef8a6a924357d2dda86a69d3f93a93b84d5a42c31f,61994,242025,242025,0xfbc128067a2fe13c11bbc6cc55f29aa1f27630da,0x6fedf0dd4b36ef3fd185a757889ef7a45d98ab348ee2d9b4bff42306475068e8,,1151732355243,,,,
0xa7adc2e95a9a5fc0fb3d788728a4bcc84f6dc1ad14d2d9bffb828fbdf71b70be,0,0xade06e52b9a573059f534b0b740bf8a1d54205a61430c289c51f091ab83e02bf,62127,300414,300414,0xeb46b81b790df256e4f9236a1e2c3a26e3d284f8,0xd325c311c4743bb9fae06d0f790bb9686ecbd2c2885adfa747433f623b41f710,,57372942420,,,,
0xb0b9e09b1d9239197ec765c8daf52036b8aacb63fc6727c66f49d2ee3f00e302,1,0x5761ab6f3c492bb466c7e4c1a8691ca2be0ae7fdfe8dd3791663eaaa4f45722a,62166,338194,316582,0x95a93b4d6cdf68235f3b68046d0f81e78d61572c,0x874f037e4036d9b749e0fd25421f8876b74389cf9a75012064ef3fb8db286a39,,58812027960,,,,
0xcf0d7e8c04d367387477adde17c1d17d1cccb042c0d38ed369360544e46ab5e3,0,0xbcccbd8582db5aada7b3c3ee253f4f0145659181b4fab4909ee37f00f5fa3382,62182,251306,251306,0x0b7591abdf17a364f167a99af38e58694acb2aa6,0xbcf2badf826c53f59da92b50e14e10bc78e4569a173e252cc7bc14c7c27aa284,,59327529791,,,,
0x4efa1635f67293876e8a30f9649ba762fc1e569ee4a94720f2f7e0489a9782cd,0,0x8b05cb95aca041bdfa695ded06f45fb2cafd428e55513d0689da4b4233e4f690,62220,289548,289548,0xdd078da257128aef13471ace70ef448c0a3f1eca,0x3c8d1f0859fc926bddb5a481c4a12ca0b30b6b110349bfa62317e545f9ff847b,,58501380032,,,,
0x7c049fa31ab37ad2107c1cecf1fa683bcc1429774c0855f1984db9ae0c7546f4,0,0x1ac13fc396c03862122a8631aa6b5060842daaa45ad3873fbe5e602da0bbafcf,62398,291516,291516,0x8b9a77ea50493eea6ba980f74dd66ff633172917,0xc5732c4f151504173c319c7d97a11c3f8b7983ab17f3b9f6e9e4d6a0794c5e15,,56623620997,,,,
